Country,GeoServer,OpenLayers,OpenStreetMap,OpenFreeMap,OpenMapTiles,Land Survey,Leaflet,MapBox,MapLibre,MapTiler,ESRI ArcGIS,Stratix,Carto,Mapy,Google Maps,Wigeogis,Salesforce,Open Source
Austria,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Belgium,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Croatia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cyprus,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Czech Republic,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1 
Denmark,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Estonia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Finland,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
France,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
Germany,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Greece,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Ireland,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Luxembourg,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Netherlands,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Poland,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Portugal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Romania,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
Slovenia,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spain,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0